x	y	z	diognalDistance	speedX	speedY	maxControlValue
-66.426094	-1.3836358	-276.51288	66.440506	2	2	0.0
-65.95374	-1.2245165	-275.82925	65.96511	2	2	0.0
-65.564095	-1.0428133	-275.16394	65.57239	2	2	0.0
-65.30175	-0.85264015	-275.19373	65.30731	2	2	0.0
-65.14684	-0.6825358	-275.03165	65.15042	2	2	0.0
-64.72207	-0.516323	-274.14288	64.72413	2	2	0.0
-64.18124	-0.3279222	-273.8975	64.182076	2	2	0.0
-63.443165	-0.08307006	-272.83694	63.44322	2	2	0.0
-63.443165	-0.08307006	-272.83694	63.44322	2	2	0.0
-62.524414	0.14281665	-272.455	62.52458	2	2	0.0
-62.12602	0.18714696	-272.61923	62.126297	2	2	0.0
-61.649696	0.21861199	-272.56992	61.650085	2	2	0.0
-61.058483	0.2017272	-272.03983	61.05882	2	2	0.0
-60.80178	0.32828894	-272.14	60.802666	2	2	0.0
-60.326702	0.4270198	-271.127	60.328213	2	2	0.0
-60.770046	0.23188604	-273.84238	60.77049	2	2	0.0
-60.575214	-0.19500889	-273.3287	60.57553	2	2	0.0
-60.744907	-0.56237006	-273.31433	60.74751	2	2	0.0
-60.91445	-0.9537787	-273.62988	60.921917	2	2	0.0
-60.948685	-1.3981884	-273.6516	60.964718	2	2	0.0
-60.706474	-1.6130594	-272.5887	60.7279	2	2	0.0
-60.806572	-1.7623698	-273.07275	60.832108	2	2	0.0
-61.116844	-2.0205653	-273.81622	61.150234	2	2	0.0
-61.10813	-2.3732073	-273.7421	61.154198	2	2	0.0
-60.677788	-2.6354525	-272.63245	60.734993	2	2	0.0
-60.392338	-2.6420012	-272.8084	60.4501	2	2	0.0
-60.192657	-2.490387	-273.03186	60.244156	2	2	0.0
-59.82527	-2.2526464	-272.9199	59.86767	2	2	0.0
-59.29947	-2.2351785	-272.49542	59.34158	2	2	0.0
-59.22068	-2.140679	-273.47174	59.259357	2	2	0.0
-58.710342	-2.1609735	-273.06107	58.7501	2	2	0.0
-58.325912	-2.1309164	-272.54028	58.364826	2	2	0.0
-57.649754	-1.895556	-272.534	57.68091	2	2	0.0
-57.584484	-1.7642076	-272.51135	57.611504	2	2	0.0
-57.584484	-1.7642076	-272.51135	57.611504	2	2	0.0
