speedXKp	0.002	speedXYKp	0.002
avgX	avgY	distance	altitude	speedX	speedY	speedZ
x	y	z	distance
495.82294	-256.20242	1314.503	142.8075
505.80826	-209.51674	1321.196	143.01392
505.80826	-209.51674	1321.196	143.01392
505.80826	-209.51674	1321.196	143.01392
505.80826	-209.51674	1321.196	143.01392
505.80826	-209.51674	1321.196	143.01392
505.80826	-209.51674	1321.196	143.01392
256.5695	43.484497	1345.3497	137.02863
257.46463	43.671413	1349.7716	137.48013
225.3366	24.25935	1327.7423	134.69464
225.70245	24.252634	1330.0996	134.93314
225.70245	24.252634	1330.0996	134.93314
200.48814	0.8295351	1310.576	132.58226
200.74516	0.74760485	1311.986	132.72551
179.81155	-22.363012	1296.7349	130.93333
157.6973	-44.097668	1281.1646	129.15865
157.6973	-44.097668	1281.1646	129.15865
137.59296	-63.543167	1261.7266	127.07964
137.59296	-63.543167	1261.7266	127.07964
123.1385	-84.76553	1240.583	124.95577
123.22539	-84.837845	1241.2502	125.02336
123.22539	-84.837845	1241.2502	125.02336
112.29239	-104.89371	1236.1873	124.570114
96.018684	-120.49178	1232.7856	124.23761
96.018684	-120.49178	1232.7856	124.23761
96.018684	-120.49178	1232.7856	124.23761
75.83489	-125.49878	1231.4934	124.019226
55.86616	-126.97858	1224.5101	123.234314
55.86616	-126.97858	1224.5101	123.234314
40.918465	-130.49542	1211.9835	121.967514
40.885944	-130.62257	1213.0845	122.07816
29.016407	-136.24388	1201.6771	120.97241
22.387152	-137.56227	1175.5078	118.37412
22.428871	-137.6128	1176.0948	118.43308
22.428871	-137.6128	1176.0948	118.43308
30.720789	-137.34216	1199.1844	120.741455
30.63719	-137.17604	1197.2036	120.542625
48.061813	-127.94308	1205.7795	121.35005
48.18909	-127.74147	1195.9154	120.36835
65.38668	-117.96096	1191.5425	119.91513
65.3482	-117.91245	1191.2318	119.88357
76.06615	-112.16812	1175.8259	118.36107
82.58071	-111.59234	1173.5988	118.1781
82.574554	-111.597786	1173.5386	118.172134
89.15467	-113.19553	1178.3171	118.709435
89.15467	-113.19553	1178.3171	118.709435
89.15467	-113.19553	1178.3171	118.709435
104.11276	-111.18585	1199.7303	120.93613
103.96965	-111.131325	1198.6818	120.830376
125.19887	-96.07311	1214.1241	122.43375
124.94417	-95.866325	1212.2043	122.23914
149.57236	-72.27607	1224.2043	123.54239
168.46245	-48.956203	1219.73	123.22814
168.36145	-48.91028	1218.8104	123.13556
168.36145	-48.91028	1218.8104	123.13556
172.42487	-34.13063	1203.2272	121.599785
