x	y	z	diognalDistance	speedX	speedY	maxControlValue
0.542167	-49.451595	-185.59084	49.454567	2	2	0.0
-1.6549757	-45.62153	-182.7452	45.65154	2	2	0.0
-2.0712252	-44.692738	-182.37701	44.740704	2	2	0.0
-2.5045223	-43.893604	-182.09457	43.964996	2	2	0.0
-2.9692893	-43.2518	-182.19777	43.353603	2	2	0.0
-3.3229928	-42.627594	-182.37856	42.75692	2	2	0.0
-3.6129162	-41.989197	-182.32674	42.144344	2	2	0.0
-3.6852908	-41.21472	-181.48126	41.379158	2	2	0.0
-3.7975132	-40.642155	-181.47353	40.819187	2	2	0.0
-3.8740456	-40.09216	-181.24669	40.278896	2	2	0.0
-3.9438581	-39.54839	-181.01958	39.74455	2	2	0.0
-3.9438581	-39.54839	-181.01958	39.74455	2	2	0.0
-4.4406824	-38.602684	-181.50208	38.85726	2	2	0.0
-4.6857657	-38.203693	-181.82176	38.489983	2	2	0.0
-4.9961243	-37.9523	-181.65352	38.27974	2	2	0.0
-5.350354	-37.833523	-181.8329	38.20997	2	2	0.0
-5.7829366	-37.723465	-181.73717	38.164146	2	2	0.0
-6.341087	-37.691704	-181.94456	38.22138	2	2	0.0
-6.9550467	-37.451923	-181.1622	38.092247	2	2	0.0
-7.4802856	-37.335197	-181.19147	38.077183	2	2	0.0
-7.869548	-37.33688	-181.17442	38.157207	2	2	0.0
-8.095344	-37.139194	-180.41544	38.011242	2	2	0.0
-8.3708725	-37.002148	-179.99585	37.93719	2	2	0.0
-8.756544	-36.861248	-179.91669	37.88705	2	2	0.0
-9.115612	-36.624702	-179.65549	37.74206	2	2	0.0
-9.497818	-36.337578	-179.31897	37.55833	2	2	0.0
-9.816423	-36.167988	-179.2122	37.476467	2	2	0.0
-10.094538	-36.09992	-178.9353	37.484715	2	2	0.0
-10.229116	-35.929234	-178.54085	37.35699	2	2	0.0
-10.465202	-35.67469	-178.10065	37.178005	2	2	0.0
-10.594803	-35.37227	-177.6338	36.92489	2	2	0.0
-10.833892	-34.80344	-176.7357	36.450687	2	2	0.0
-10.833892	-34.80344	-176.7357	36.450687	2	2	0.0
-10.929064	-34.579086	-176.41827	36.265102	2	2	0.0
-11.003041	-34.461544	-176.13986	36.175472	2	2	0.0
-11.085021	-34.1863	-175.33437	35.93857	2	2	0.0
-11.259453	-33.71852	-174.81546	35.548756	2	2	0.0
-11.298726	-33.485355	-174.66412	35.340206	2	2	0.0
-11.298726	-33.485355	-174.66412	35.340206	2	2	0.0
-11.335937	-33.209076	-174.2196	35.09054	2	2	0.0
-11.457649	-32.955753	-173.87029	34.89068	2	2	0.0
-11.457649	-32.955753	-173.87029	34.89068	2	2	0.0
-11.630132	-32.075863	-173.28552	34.119217	2	2	0.0
-11.621902	-31.719198	-173.16765	33.7813	2	2	0.0
-11.621902	-31.719198	-173.16765	33.7813	2	2	0.0
-11.878161	-30.890589	-172.6495	33.095608	2	2	0.0
-11.878161	-30.890589	-172.6495	33.095608	2	2	0.0
-11.934635	-30.56168	-172.54097	32.809326	2	2	0.0
-11.964644	-30.333597	-172.4443	32.60797	2	2	0.0
-11.965269	-30.11499	-172.37129	32.40494	2	2	0.0
-11.990152	-29.976387	-172.3924	32.285408	2	2	0.0
-12.030811	-29.722727	-172.0661	32.06526	2	2	0.0
-12.090654	-29.516474	-172.3348	31.896805	2	2	0.0
