x	y	z	distance
588.42615	-271.9805	1299.1277	145.18785
600.6798	-213.70828	1301.9062	144.9637
600.03107	-213.50974	1300.501	144.80768
600.03107	-213.50974	1300.501	144.80768
600.03107	-213.50974	1300.501	144.80768
600.03107	-213.50974	1300.501	144.80768
640.1141	-59.700542	1360.9203	150.51292
640.7615	-59.721016	1362.3414	150.66904
626.5043	-33.182327	1369.3506	150.62303
627.2767	-33.2649	1371.1948	150.823
610.2676	-8.702486	1375.5327	150.48563
610.4663	-8.668482	1375.9657	150.53325
576.82306	12.18885	1378.4458	149.4318
576.82306	12.18885	1378.4458	149.4318
523.6265	21.086018	1386.3771	148.2117
525.45703	21.214214	1391.1777	148.7256
473.27762	16.848518	1388.091	146.66533
474.07486	16.883484	1390.4657	146.91586
428.68106	10.502929	1369.3085	143.4881
429.41922	10.480631	1371.5181	143.72101
390.17368	10.435557	1349.9286	140.5223
390.49237	10.423546	1350.9434	140.62862
367.15268	13.527021	1344.625	139.39154
367.266	13.522197	1344.8794	139.41908
348.57834	18.291199	1325.1885	137.0389
348.5091	18.300213	1324.9102	137.01024
352.34344	34.705704	1351.0618	139.6681
352.21014	34.69795	1350.6055	139.62059
356.78375	60.601215	1347.8464	139.55849
356.45288	60.59992	1346.3817	139.40855
360.9451	76.613914	1337.147	138.7124
360.768	76.557526	1336.4478	138.64008
360.93106	77.820694	1336.3597	138.64287
359.6738	77.701965	1330.9333	138.08644
348.75348	70.7344	1325.0808	137.2032
348.75348	70.7344	1325.0808	137.2032
330.2235	67.546104	1300.9834	134.39374
330.30182	67.58521	1301.4016	134.43636
309.54437	72.679886	1290.8374	132.94214
309.69897	72.714714	1291.4222	133.00272
282.03717	79.03592	1291.6592	132.44528
251.86914	78.37862	1290.1842	131.68738
252.14722	78.53143	1292.2218	131.89323
226.55722	71.069954	1287.7058	130.94142
226.55722	71.069954	1287.7058	130.94142
207.40334	60.69334	1285.2666	130.33073
207.59338	60.71209	1286.0406	130.41019
207.59338	60.71209	1286.0406	130.41019
190.21638	53.657513	1268.5422	128.3846
177.79477	51.048286	1263.565	127.7033
177.79477	51.048286	1263.565	127.7033
166.74165	49.530315	1259.4343	127.13893
155.65594	51.01236	1255.1462	126.57895
155.65594	51.01236	1255.1462	126.57895
155.65594	51.01236	1255.1462	126.57895
146.45433	53.000618	1251.9846	126.16351
146.45433	53.000618	1251.9846	126.16351
141.19298	52.602432	1248.0632	125.71254
141.13208	52.57471	1247.4569	125.65154
139.29848	52.88836	1249.9993	125.88484
142.10635	57.139503	1253.0015	126.232796
142.06152	57.140583	1252.7109	126.203445
146.03427	60.6334	1255.2517	126.517166
146.01253	60.630997	1255.1792	126.50971
149.44095	57.843857	1260.5249	127.06697
149.44095	57.843857	1260.5249	127.06697
154.4176	55.87074	1256.0142	126.67036
154.4176	55.87074	1256.0142	126.67036
156.27159	62.5165	1256.8623	126.808205
156.21722	62.494717	1256.6519	126.78657
155.68439	65.20078	1259.0837	127.03466
155.68439	65.20078	1259.0837	127.03466
150.39151	63.190784	1273.9939	128.43953
150.44572	63.21365	1274.442	128.48471
137.24484	59.87578	1275.0541	128.38162
137.24484	59.87578	1275.0541	128.38162
124.26004	60.91656	1269.3159	127.68376
124.26004	60.91656	1269.3159	127.68376
113.902626	61.18843	1265.4939	127.208206
113.902626	61.18843	1265.4939	127.208206
106.27803	60.83054	1261.8678	126.77956
106.315926	60.86635	1262.0599	126.79918
100.94903	65.14298	1263.6868	126.938515
100.93037	65.140205	1263.6158	126.93129
95.86328	70.600655	1264.1012	126.96952
95.86328	70.600655	1264.1012	126.96952
87.89753	73.0067	1268.331	127.34675
77.70492	73.434746	1268.701	127.3198
77.72709	73.421875	1269.37	127.38652
77.72709	73.421875	1269.37	127.38652
68.04295	73.08095	1267.8705	127.17965
68.04295	73.08095	1267.8705	127.17965
62.238342	71.143105	1258.0598	126.16059
62.24597	71.15163	1258.2018	126.17483
58.828827	68.9079	1254.8843	125.81509
53.98462	69.75251	1252.9427	125.604355
