x	y	z	diognalDistance	speedX	speedY	maxControlValue
-3.8728626	-79.08306	-289.77142	79.17783	0.5813167	10.0	0.0
-3.9273725	-78.907425	-289.85516	79.005104	0.58988595	10.0	0.0
-4.043924	-78.76567	-289.81668	78.869415	0.607773	10.0	0.0
-4.210012	-78.64863	-289.79395	78.76123	0.6331072	10.0	0.0
-4.33143	-78.43399	-289.62766	78.5535	0.65175307	10.0	0.0
-4.373789	-78.2974	-289.53406	78.419464	0.65854424	10.0	0.0
-4.4603677	-78.513084	-290.5052	78.63968	0.67197716	10.0	0.0
-4.4483194	-78.67011	-290.3884	78.79578	0.6706148	10.0	0.0
-4.3074813	-78.74917	-290.17468	78.86689	0.64991975	10.0	0.0
-4.2615433	-78.670456	-289.6438	78.78579	0.6434552	10.0	0.0
-4.2577	-78.89454	-290.24985	79.00934	0.64330447	10.0	0.0
-4.329514	-78.81339	-289.817	78.93222	0.65450954	10.0	0.0
-4.4099894	-78.94179	-289.80524	79.06487	0.6670219	10.0	0.0
-4.4162555	-78.830605	-289.40247	78.95421	0.6684034	10.0	0.0
-4.2542486	-78.754	-289.26678	78.86882	0.6445278	10.0	0.0
-4.1307178	-79.54685	-289.9852	79.65403	0.62641126	10.0	0.0
-4.4099355	-83.00733	-290.90585	83.1244	0.66873485	10.0	0.0
-4.4099355	-83.00733	-290.90585	83.1244	0.66917586	10.0	0.0
-4.4099355	-83.00733	-290.90585	83.1244	0.6696169	10.0	0.0
-4.4099355	-83.00733	-290.90585	83.1244	0.67005783	10.0	0.0
-4.4099355	-83.00733	-290.90585	83.1244	0.67049885	10.0	0.0
-4.4099355	-83.00733	-290.90585	83.1244	0.6709398	10.0	0.0
-5.44147	-75.38312	-287.35895	75.579254	0.8167647	10.0	0.0
-5.454891	-72.407684	-286.77536	72.61287	0.81932336	10.0	0.0
-5.448869	-69.58899	-285.3525	69.80199	0.81896496	10.0	0.0
-5.427736	-67.25319	-285.0159	67.471855	0.8163377	10.0	0.0
-5.326822	-64.78249	-284.26004	65.00113	0.8017333	9.752316	0.0
-5.178746	-62.489395	-284.10284	62.70362	0.7800398	9.414599	0.0
-5.0801306	-60.348877	-283.23798	60.56232	0.7657555	9.099557	0.0
-5.060377	-58.339653	-281.88223	58.558712	0.7632985	8.804008	0.0
-5.0484257	-56.611263	-281.4434	56.83592	0.76201063	8.55041	0.0
-4.978128	-54.923805	-280.78323	55.148945	0.7519638	8.302784	0.0
-4.877343	-53.218704	-279.9482	53.441734	0.7373338	8.0523405	0.0
-4.295601	-50.41725	-278.90442	50.599915	0.650502	7.6371646	0.0
-4.295601	-50.41725	-278.90442	50.599915	0.6509316	7.642206	0.0
-4.1214194	-49.1884	-278.29053	49.360764	0.6252165	7.462797	0.0
-3.9579506	-48.265656	-277.78488	48.427666	0.601092	7.329212	0.0
-3.3134663	-48.967937	-277.6185	49.079914	0.50475067	7.439451	0.0
-3.3134663	-48.967937	-277.6185	49.079914	0.505082	7.4443483	0.0
-2.9697115	-49.948704	-277.4117	50.036907	0.45381576	7.596458	0.0
-2.811621	-50.544334	-276.2654	50.622475	0.43038332	7.690857	0.0
-2.611723	-51.003094	-275.81396	51.06992	0.40065983	7.7647715	0.0
-2.0237608	-51.448193	-274.62585	51.48798	0.31266785	7.836681	0.0
-1.6173168	-51.090324	-273.1625	51.115917	0.251863	7.78811	0.0
-1.3073536	-51.009174	-274.45746	51.025925	0.20549925	7.781038	0.0
-1.3073536	-51.009174	-274.45746	51.025925	0.20562997	7.7861385	0.0
-0.8421409	-50.562286	-275.00134	50.5693	0.13593228	7.724162	0.0
0.68160665	-48.71094	-274.0877	48.71571	-0.09269802	7.451331	0.0
1.3859208	-47.606228	-273.82843	47.6264	-0.19848374	7.290385	0.0
1.962674	-46.464825	-273.50925	46.506256	-0.285193	7.1238213	0.0
1.962674	-46.464825	-273.50925	46.506256	-0.28538924	7.1284676	0.0
2.6152563	-45.16343	-273.3952	45.239086	-0.38353816	6.937774	0.0
2.6152563	-45.16343	-273.3952	45.239086	-0.38379967	6.942291	0.0
3.920563	-42.101578	-272.19284	42.28373	-0.5799877	6.487223	0.0
3.920563	-42.101578	-272.19284	42.28373	-0.5803798	6.4914336	0.0
4.897937	-38.81885	-271.20706	39.12663	-0.72747564	6.002906	0.0
5.5576367	-36.891766	-271.0313	37.308037	-0.8269864	5.717532	0.0
6.4387255	-34.82498	-270.35745	35.4152	-0.9597936	5.4109974	0.0
7.2065015	-32.754612	-269.71045	33.538013	-1.0756807	5.1037173	0.0
8.138152	-30.854485	-270.0439	31.909697	-1.2162421	4.8217835	0.0
9.317038	-28.874096	-269.12848	30.340082	-1.3940066	4.527613	0.0
9.317038	-28.874096	-269.12848	30.340082	-1.3949383	4.5305004	0.0
11.145044	-24.796858	-268.75223	27.186323	-1.6702539	3.9213943	0.0
center fixed=27.186323
13.836548	-19.350683	-267.8776	23.788631	-2.0753632	3.106403	0.0
center fixed=23.788631
16.499302	-13.484472	-267.81232	21.308636	-2.4764261	2.22782	0.0
center fixed=21.308636
20.746449	-0.4659468	-269.38477	20.75168	-3.1155727	0.27508745	0.0
center fixed=20.75168
23.569496	11.188625	-271.8947	26.090353	-3.5413868	-1.4742173	0.0
center fixed=26.090353
28.104841	24.605072	-275.12738	37.353603	-4.224499	-3.4891448	0.0
29.43787	27.583103	-275.29272	40.34124	-4.4273973	-3.9386077	0.0
30.580387	30.512228	-276.48734	43.199028	-4.601833	-4.3810277	0.0
32.731453	35.563503	-276.78506	48.333332	-4.927766	-5.1422753	0.0
32.731453	35.563503	-276.78506	48.333332	-4.931039	-5.1458316	0.0
32.731453	35.563503	-276.78506	48.333332	-4.934312	-5.1493883	0.0
35.257526	39.457237	-275.3143	52.91471	-5.3167486	-5.737394	0.0
36.520145	41.489277	-275.87567	55.27279	-5.5097938	-6.046349	0.0
37.553856	43.32785	-275.50897	57.33755	-5.668606	-6.326468	0.0
39.339252	47.472614	-276.82516	61.654083	-5.940349	-6.95293	0.0
40.134792	49.373672	-277.02087	63.628304	-6.063694	-7.243026	0.0
40.94834	51.00079	-275.9981	65.40525	-6.189821	-7.4921937	0.0
41.91486	52.77824	-276.47247	67.397316	-6.33899	-7.7640886	0.0
41.91486	52.77824	-276.47247	67.397316	-6.3431816	-7.7693663	0.0
41.91486	52.77824	-276.47247	67.397316	-6.347373	-7.7746444	0.0
42.771095	54.485756	-276.56863	69.26806	-6.480086	-8.036221	0.0
45.905014	58.782307	-278.04044	74.58304	-6.954764	-8.686582	0.0
45.952766	58.859226	-278.36862	74.67306	-6.966522	-8.704005	0.0
49.304256	63.202023	-279.55762	80.15862	-7.474176	-9.361745	0.0
50.47859	64.66352	-277.12283	82.03328	-7.6553736	-9.587436	0.0
51.981876	66.70052	-277.2222	84.56403	-7.886065	-9.899656	0.0
51.981876	66.70052	-277.2222	84.56403	-7.891263	-9.906327	0.0
54.475517	71.09315	-278.57068	89.5646	-8.270757	-10.0	0.0
54.475517	71.09315	-278.57068	89.5646	-8.276204	-10.0	0.0
55.364563	73.33269	-279.12817	91.88535	-8.415097	-10.0	0.0
55.364563	73.33269	-279.12817	91.88535	-8.420634	-10.0	0.0
55.364563	73.33269	-279.12817	91.88535	-8.42617	-10.0	0.0
55.364563	73.33269	-279.12817	91.88535	-8.431707	-10.0	0.0
55.364563	73.33269	-279.12817	91.88535	-8.437243	-10.0	0.0
55.364563	73.33269	-279.12817	91.88535	-8.44278	-10.0	0.0
53.41066	77.89291	-272.07874	94.44577	-8.016941	-10.0	0.0
52.25747	76.52963	-271.7204	92.66946	-7.8491874	-10.0	0.0
51.269	75.13924	-271.07782	90.96381	-7.706044	-10.0	0.0
50.45111	73.857704	-270.76697	89.44426	-7.5884056	-10.0	0.0
50.427593	73.83498	-270.6604	89.412224	-7.589921	-10.0	0.0
49.58105	72.67389	-270.26797	87.97599	-7.467898	-10.0	0.0
48.622616	71.38599	-269.1953	86.37197	-7.3289948	-10.0	0.0
48.622616	71.38599	-269.1953	86.37197	-7.333857	-10.0	0.0
47.128395	69.47424	-268.13986	83.95091	-7.1144366	-10.0	0.0
47.128395	69.47424	-268.13986	83.95091	-7.1191497	-10.0	0.0
46.57452	68.6735	-268.03366	82.97732	-7.0407257	-10.0	0.0
46.07396	68.01929	-268.33466	82.15494	-6.9702487	-10.0	0.0
45.348053	67.18265	-267.44168	81.05525	-6.865898	-10.0	0.0
44.588764	66.371506	-266.8762	79.95833	-6.7564635	-10.0	0.0
44.026096	65.866165	-266.9969	79.2253	-6.676466	-9.986701	0.0
44.026096	65.866165	-266.9969	79.2253	-6.680868	-9.993288	0.0
43.393063	65.512184	-266.44946	78.579926	-6.590253	-9.946742	0.0
43.38784	65.94183	-266.37134	78.93561	-6.593808	-10.0	0.0
43.38784	65.94183	-266.37134	78.93561	-6.598147	-10.0	0.0
43.873863	66.99761	-266.48697	80.08493	-6.675438	-10.0	0.0
44.649395	68.43046	-266.99442	81.7086	-6.796232	-10.0	0.0
45.68534	69.785416	-267.2228	83.40956	-6.9561925	-10.0	0.0
45.68534	69.785416	-267.2228	83.40956	-6.960761	-10.0	0.0
46.46942	71.09373	-267.4816	84.933655	-7.0830207	-10.0	0.0
46.97801	71.94987	-267.07993	85.92856	-7.164006	-10.0	0.0
46.97801	71.94987	-267.07993	85.92856	-7.168704	-10.0	0.0
47.611397	73.489746	-267.43054	87.564766	-7.2684736	-10.0	0.0
47.531544	74.14479	-267.9809	88.07211	-7.2612486	-10.0	0.0
47.531544	74.14479	-267.9809	88.07211	-7.2660017	-10.0	0.0
47.11511	74.313354	-267.81998	87.99039	-7.2082477	-10.0	0.0
46.641937	74.50041	-268.50406	87.89642	-7.1419363	-10.0	0.0
45.954372	74.22666	-268.5656	87.30064	-7.043397	-10.0	0.0
45.954372	74.22666	-268.5656	87.30064	-7.0479927	-10.0	0.0
45.954372	74.22666	-268.5656	87.30064	-7.052588	-10.0	0.0
44.190956	73.05562	-268.63672	85.38129	-6.7924943	-10.0	0.0
44.190956	73.05562	-268.63672	85.38129	-6.7969136	-10.0	0.0
43.56595	72.38345	-269.7549	84.48287	-6.707519	-10.0	0.0
42.685715	71.66956	-269.89105	83.418205	-6.5797524	-10.0	0.0
