x	y	z	distance
630.0272	-177.17654	1313.0005	146.70706
630.0856	-177.19469	1313.1239	146.72084
630.0856	-177.19469	1313.1239	146.72084
630.0856	-177.19469	1313.1239	146.72084
630.0856	-177.19469	1313.1239	146.72084
630.0856	-177.19469	1313.1239	146.72084
630.0856	-177.19469	1313.1239	146.72084
630.0856	-177.19469	1313.1239	146.72084
630.0856	-177.19469	1313.1239	146.72084
630.0856	-177.19469	1313.1239	146.72084
630.0856	-177.19469	1313.1239	146.72084
630.0856	-177.19469	1313.1239	146.72084
630.0856	-177.19469	1313.1239	146.72084
630.0593	-177.11728	1312.9414	146.70244
630.0593	-177.11728	1312.9414	146.70244
630.08356	-177.13272	1313.0254	146.71117
630.08356	-177.13272	1313.0254	146.71117
630.08356	-177.13272	1313.0254	146.71117
630.0269	-177.13484	1312.9731	146.7041
630.0269	-177.13484	1312.9731	146.7041
630.0269	-177.13484	1312.9731	146.7041
630.0269	-177.13484	1312.9731	146.7041
630.0269	-177.13484	1312.9731	146.7041
630.0269	-177.13484	1312.9731	146.7041
630.0269	-177.13484	1312.9731	146.7041
630.0269	-177.13484	1312.9731	146.7041
630.0269	-177.13484	1312.9731	146.7041
630.0269	-177.13484	1312.9731	146.7041
630.12994	-177.19565	1313.2495	146.734
630.12994	-177.19565	1313.2495	146.734
630.12994	-177.19565	1313.2495	146.734
630.12994	-177.19565	1313.2495	146.734
630.12994	-177.19565	1313.2495	146.734
630.12994	-177.19565	1313.2495	146.734
630.12994	-177.19565	1313.2495	146.734
630.12994	-177.19565	1313.2495	146.734
630.12994	-177.19565	1313.2495	146.734
630.0819	-177.15646	1313.1179	146.71968
630.12994	-177.19565	1313.2495	146.734
630.12994	-177.19565	1313.2495	146.734
630.2052	-177.17406	1313.3806	146.74869
630.097	-177.17145	1313.186	146.7266
630.0039	-177.18184	1312.9895	146.70514
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0832	-177.12363	1313.1255	146.72002
630.0347	-177.12555	1313.0242	146.70888
630.1209	-177.1804	1313.1956	146.72858
630.13055	-177.22029	1313.2822	146.73723
630.0105	-177.17398	1312.9683	146.70343
629.8545	-177.19568	1312.7435	146.67688
629.8545	-177.19568	1312.7435	146.67688
630.0178	-177.1966	1313.0548	146.71176
630.0178	-177.1966	1313.0548	146.71176
629.92975	-177.17827	1312.9017	146.69406
630.1375	-177.24286	1313.3678	146.74547
630.0437	-177.18323	1313.1086	146.71753
630.09576	-177.18024	1313.2189	146.72958
630.09576	-177.18024	1313.2189	146.72958
630.09576	-177.18024	1313.2189	146.72958
630.09576	-177.18024	1313.2189	146.72958
630.09576	-177.18024	1313.2189	146.72958
630.09576	-177.18024	1313.2189	146.72958
630.09576	-177.18024	1313.2189	146.72958
630.09576	-177.18024	1313.2189	146.72958
630.09576	-177.18024	1313.2189	146.72958
630.09576	-177.18024	1313.2189	146.72958
629.9888	-177.1333	1312.8574	146.69208
629.9888	-177.1333	1312.8574	146.69208
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
630.0434	-177.15483	1313.0012	146.70755
