x	y	z	diognalDistance	speedX	speedY	maxControlValue
51.306374	-66.33409	-302.43686	83.86034	-7.701087	9.956748	0.0
51.386673	-65.65484	-302.35297	83.37354	-7.7182703	9.861425	0.0
51.61552	-65.16046	-302.98727	83.1267	-7.757759	9.793785	0.0
53.64282	-66.742516	-315.48834	85.62777	-8.067218	10.0	0.0
51.635323	-63.79713	-303.97153	82.074844	-7.7712574	9.602339	0.0
51.637295	-63.04541	-303.4563	81.49315	-7.7767167	9.495885	0.0
51.46522	-61.892876	-301.18726	80.494705	-7.756052	9.329194	0.0
51.44196	-61.380295	-301.47733	80.086296	-7.7577076	9.258446	0.0
50.951992	-60.503582	-300.97345	79.09987	-7.689307	9.132989	0.0
50.951992	-60.503582	-300.97345	79.09987	-7.694402	9.139039	0.0
50.923206	-60.19033	-301.24622	78.84193	-7.695177	9.098071	0.0
50.622402	-59.493187	-300.79123	78.11573	-7.6551185	8.999449	0.0
50.294678	-58.132874	-299.9854	76.86993	-7.6109896	8.801215	0.0
50.47659	-57.659157	-300.4792	76.632	-7.643324	8.735924	0.0
50.55845	-56.933422	-299.61084	76.141785	-7.6606584	8.632755	0.0
50.55845	-56.933422	-299.61084	76.141785	-7.6657143	8.638449	0.0
51.827065	-57.660164	-302.1927	77.52896	-7.8611894	8.753226	0.0
55.196644	-60.576057	-305.42252	81.95199	-8.372147	9.196668	0.0
56.336952	-61.934513	-303.97632	83.72417	-8.548826	9.4066305	0.0
57.42005	-63.28629	-303.1498	85.45301	-8.717033	9.6157255	0.0
58.116695	-64.0753	-301.09198	86.50546	-8.827341	9.740484	0.0
58.116695	-64.0753	-301.09198	86.50546	-8.833153	9.746892	0.0
59.48626	-64.77198	-299.08145	87.943306	-9.044537	9.857871	0.0
59.98114	-65.04429	-298.93167	88.47879	-9.124766	9.905221	0.0
60.49911	-65.018196	-298.6311	88.811646	-9.208512	9.907809	0.0
61.105213	-65.053795	-299.59738	89.25157	-9.305537	9.919655	0.0
60.853516	-64.38357	-297.58115	88.59116	-9.273869	9.82556	0.0
60.85258	-63.984005	-298.33972	88.30056	-9.279814	9.772023	0.0
60.500633	-63.30186	-297.97055	87.56399	-9.233071	9.676031	0.0
60.095364	-62.666702	-298.19458	86.82493	-9.17829	9.587025	0.0
60.0766	-61.91813	-298.82117	86.27313	-9.181483	9.48093	0.0
60.02798	-61.127377	-300.00412	85.6733	-9.180193	9.36843	0.0
59.357815	-59.92678	-298.85556	84.34791	-9.085604	9.194334	0.0
58.68463	-58.65602	-297.67618	82.972374	-8.990496	9.009585	0.0
58.38926	-57.61384	-297.40656	82.02841	-8.952029	8.859019	0.0
57.96573	-56.469685	-297.20215	80.92497	-8.894296	8.693044	0.0
57.452312	-55.409325	-296.8138	79.818306	-8.823029	8.539531	0.0
57.08395	-54.193993	-296.3009	78.71192	-8.773482	8.362649	0.0
56.71001	-53.0188	-295.83945	77.63387	-8.7230625	8.191672	0.0
56.380116	-51.719822	-295.28134	76.50919	-8.679216	8.001998	0.0
56.52019	-50.62695	-298.95334	75.87898	-8.70588	7.8431296	0.0
55.743694	-48.568413	-297.71597	73.93409	-8.594979	7.539206	0.0
55.13721	-46.984936	-297.7213	72.44099	-8.509521	7.3063827	0.0
54.43019	-45.623783	-297.92892	71.022354	-8.408911	7.1067724	0.0
53.47856	-43.936768	-298.07315	69.212685	-8.271514	6.858114	0.0
52.456	-42.10993	-297.73688	67.26721	-8.123376	6.588299	0.0
51.42168	-40.392727	-297.5647	65.389305	-7.97337	6.334758	0.0
50.424713	-38.69086	-296.92786	63.558117	-7.828867	6.083347	0.0
49.328007	-37.00878	-296.9432	61.667675	-7.669294	5.834736	0.0
47.90034	-34.89768	-295.8781	59.26458	-7.459934	5.52156	0.0
46.34378	-32.99784	-296.65247	56.891155	-7.2310843	5.2398844	0.0
44.82209	-30.857933	-297.92493	54.417202	-7.0073133	4.921984	0.0
42.692352	-28.386793	-296.8525	51.268383	-6.6921215	4.5541515	0.0
40.539963	-26.048565	-295.0272	48.1873	-6.3733172	4.2060223	0.0
38.85044	-23.817204	-295.16052	45.5699	-6.1237736	3.8736997	0.0
34.916992	-18.732708	-296.69516	39.624622	-5.537248	3.1128986	0.0
34.916992	-18.732708	-296.69516	39.624622	-5.5407395	3.1147718	0.0
32.88768	-16.360672	-297.3946	36.732426	-5.2396317	2.7606025	0.0
28.967424	-11.468296	-296.3746	31.154993	-4.65449	2.027893	0.0
27.071028	-8.946116	-296.58624	28.510937	-4.372738	1.6504607	0.0
center fixed=28.510937
27.071028	-8.946116	-296.58624	28.510937	-4.375445	1.6513553	0.0
center fixed=28.510937
25.406275	-6.043218	-299.7319	26.115116	-4.1282725	1.2165248	0.0
center fixed=26.115116
23.331345	-2.8960097	-302.10538	23.510391	-3.8193662	0.74473315	0.0
center fixed=23.510391
20.776342	0.0828774	-299.94537	20.776508	-3.4381936	0.29789177	0.0
center fixed=20.776508
18.526285	3.0512667	-299.49326	18.775875	-3.1025374	-0.14767176	0.0
center fixed=18.775875
16.119204	6.1028595	-299.37	17.235825	-2.743087	-0.6060209	0.0
center fixed=17.235825
13.639681	9.286872	-300.6815	16.501118	-2.3725228	-1.0845516	0.0
center fixed=16.501118
11.053209	12.454857	-300.14792	16.652235	-1.9856575	-1.5609947	0.0
center fixed=16.652235
8.449345	15.524421	-300.6198	17.674814	-1.5959225	-2.0229816	0.0
center fixed=17.674814
5.74073	18.73115	-300.56836	19.59112	-1.1902044	-2.5058644	0.0
center fixed=19.59112
2.9415941	22.271914	-301.7566	22.465332	-0.7706282	-3.039206	0.0
center fixed=22.465332
0.11692702	25.800098	-302.59436	25.800364	-0.3469398	-3.571014	0.0
center fixed=25.800364
-5.820834	32.589382	-305.4073	33.105133	0.5443065	-4.5926657	0.0
-5.820834	32.589382	-305.4073	33.105133	0.54488856	-4.5959244	0.0
-9.229802	35.91911	-306.8371	37.086002	1.0571568	-5.098975	0.0
-12.9117775	39.565735	-308.16635	41.619244	1.6107442	-5.6499257	0.0
-16.758999	43.572277	-310.31976	46.684124	2.1895034	-6.2552643	0.0
-20.95187	47.936306	-313.5754	52.315105	2.8205292	-6.9146624	0.0
-24.443802	51.167526	-312.37155	56.706394	3.3467634	-7.4044623	0.0
-27.966434	54.20869	-312.75912	60.99757	3.877955	-7.8660574	0.0
-31.279911	56.994736	-311.81653	65.0141	4.3781047	-8.289664	0.0
-34.646454	60.433815	-313.6481	69.660774	4.8865504	-8.811569	0.0
-37.984833	63.709362	-315.04218	74.17365	5.391106	-9.309273	0.0
-41.33436	66.96265	-316.59833	78.692604	5.897668	-9.803961	0.0
-43.954014	69.62207	-316.51328	82.33583	6.295012	-10.0	0.0
-43.954014	69.62207	-316.51328	82.33583	6.2994075	-10.0	0.0
-49.422787	75.09176	-318.50922	89.89652	7.1246657	-10.0	0.0
-51.684505	76.71045	-314.35742	92.49747	7.469092	-10.0	0.0
-56.45433	82.87458	-314.30978	100.276054	8.190211	-10.0	0.0
-58.35721	85.01397	-310.3861	103.11614	8.481479	-10.0	0.0
-61.259785	88.841774	-312.41653	107.91489	8.922991	-10.0	0.0
-63.89717	92.416176	-313.0951	112.35479	9.324988	-10.0	0.0
-66.48789	95.91373	-313.97238	116.70511	9.720246	-10.0	0.0
-66.48789	95.91373	-313.97238	116.70511	9.726894	-10.0	0.0
-66.48789	95.91373	-313.97238	116.70511	9.733543	-10.0	0.0
-66.48789	95.91373	-313.97238	116.70511	9.740192	-10.0	0.0
-66.48789	95.91373	-313.97238	116.70511	9.746841	-10.0	0.0
-66.48789	95.91373	-313.97238	116.70511	9.7534895	-10.0	0.0
