x	y	z	distance
655.68005	-246.83466	1316.9124	149.16776
655.68005	-246.83466	1316.9124	149.16776
655.68005	-246.83466	1316.9124	149.16776
655.68005	-246.83466	1316.9124	149.16776
655.68005	-246.83466	1316.9124	149.16776
655.68005	-246.83466	1316.9124	149.16776
203.42264	-223.85133	1340.653	137.43509
185.02856	-197.57494	1319.2324	134.67168
185.1755	-197.86949	1320.6183	134.81377
185.1755	-197.86949	1320.6183	134.81377
185.1755	-197.86949	1320.6183	134.81377
172.50703	-178.16475	1301.239	132.46602
154.27249	-164.5148	1291.5436	131.10872
132.5041	-152.30775	1291.4355	130.71193
122.15988	-135.53812	1283.1078	129.60165
122.15988	-135.53812	1283.1078	129.60165
122.15988	-135.53812	1283.1078	129.60165
111.21536	-122.43384	1276.4465	128.71187
111.32887	-122.50754	1277.261	128.79433
92.067505	-114.51793	1284.489	129.2866
92.1219	-114.604996	1285.5786	129.39603
65.337845	-94.81812	1291.5049	129.66281
65.337845	-94.81812	1291.5049	129.66281
33.45469	-74.25843	1290.2087	129.2777
-0.5447348	-60.511326	1289.7109	129.11299
-0.573992	-60.411243	1286.6583	128.80759
-31.762272	-46.775955	1287.0535	128.82948
-31.762272	-46.775955	1287.0535	128.82948
-31.762272	-46.775955	1287.0535	128.82948
-52.86534	-37.52979	1270.5962	127.22492
-52.796997	-37.4612	1269.1257	127.077576
-66.799	-29.68354	1279.0504	128.11374
-66.68352	-29.701462	1278.0022	128.00853
-83.60303	-9.676488	1310.4271	131.31268
-101.83903	13.089181	1319.9187	132.39062
-101.83903	13.089181	1319.9187	132.39062
-112.76763	30.277597	1314.6289	131.9804
-112.676704	30.151224	1312.8125	131.79839
-112.676704	30.151224	1312.8125	131.79839
-117.96733	41.546967	1299.3242	130.53297
-118.02074	41.52481	1300.0095	130.6016
-119.52937	45.900513	1294.2507	130.05688
-116.69396	47.370125	1298.0895	130.41846
-116.693794	47.384323	1297.8689	130.39658
-107.37128	44.66062	1302.2655	130.74474
-106.48787	44.449657	1297.1156	130.22382
-95.85744	37.790787	1298.6432	130.27245
-95.85744	37.790787	1298.6432	130.27245
-88.431625	29.908157	1300.288	130.36346
-88.431625	29.908157	1300.288	130.36346
-88.431625	29.908157	1300.288	130.36346
-85.74639	26.33575	1285.7823	128.89073
-85.88992	32.53077	1287.4597	129.07315
-85.829315	32.479794	1287.0648	129.03323
-85.7435	38.9246	1287.1046	129.05446
-85.7435	38.9246	1287.1046	129.05446
-82.67255	41.754143	1287.1631	129.0491
-82.67255	41.754143	1287.1631	129.0491
-76.499245	42.43578	1282.8281	128.58075
-76.50498	42.442146	1282.9766	128.59561
-75.52371	41.61624	1282.9023	128.57971
-75.51337	41.61174	1282.7501	128.56444
-80.00212	37.78385	1295.1354	129.81538
-80.00212	37.78385	1295.1354	129.81538
-78.82592	28.83561	1304.2946	130.69925
-78.79357	28.824078	1303.7927	130.64894
-73.11325	12.216548	1325.954	132.80243
-73.06325	12.204823	1325.3352	132.74037
-73.06325	12.204823	1325.3352	132.74037
-59.090004	-45.116444	1318.9918	132.10854
-59.090004	-45.116444	1318.9918	132.10854
-57.870865	-76.92443	1300.368	130.39261
-57.870865	-76.92443	1300.368	130.39261
-57.870865	-76.92443	1300.368	130.39261
-58.572945	-100.45441	1275.3506	128.06409
-58.555145	-100.50767	1275.9291	128.12202
-61.831123	-119.58263	1264.0516	127.12
-69.61011	-133.85727	1259.5347	126.85389
-69.57909	-133.7865	1259.088	126.80862
-78.35493	-143.42725	1271.4132	128.18745
-78.35493	-143.42725	1271.4132	128.18745
-85.46416	-150.9107	1268.17	127.9974
-85.46416	-150.9107	1268.17	127.9974
-85.46416	-150.9107	1268.17	127.9974
-84.39732	-159.2018	1269.3079	128.20337
-84.34985	-159.16965	1268.9951	128.17169
-69.16716	-166.06555	1275.9794	128.85982
-49.60408	-167.1858	1266.2938	127.824554
-49.299053	-167.18428	1267.7583	127.96843
-30.273994	-167.77695	1264.6208	127.606094
-30.209259	-167.56863	1262.9968	127.44225
-16.931961	-165.07043	1257.4436	126.83451
-16.748053	-164.4224	1252.999	126.38519
-8.70994	-155.3639	1262.1206	127.167694
-8.647255	-155.09283	1259.6107	126.91524
-8.647255	-155.09283	1259.6107	126.91524
-8.647255	-155.09283	1259.6107	126.91524
-8.647255	-155.09283	1259.6107	126.91524
-8.647255	-155.09283	1259.6107	126.91524
-8.647255	-155.09283	1259.6107	126.91524
117.83765	-91.855736	1285.9645	129.4615
118.12776	-91.72545	1285.0686	129.37424
118.12776	-91.72545	1285.0686	129.37424
132.31241	-76.65462	1282.254	129.13396
132.44826	-76.7048	1283.3057	129.24007
138.52893	-64.7964	1282.772	129.18562
138.62695	-64.7949	1283.6401	129.27289
141.24652	-55.691917	1282.5945	129.15497
141.28874	-55.720592	1282.9926	129.1951
143.95598	-54.297604	1285.6912	129.48642
149.82225	-59.82251	1296.2856	130.62856
149.88275	-59.860973	1296.8763	130.68805
157.21338	-65.13482	1293.6168	130.47617
157.21338	-65.13482	1293.6168	130.47617
157.21338	-65.13482	1293.6168	130.47617
165.51347	-66.231224	1294.7295	130.69452
165.51347	-66.231224	1294.7295	130.69452
173.46939	-70.226425	1303.9319	131.72934
173.45567	-70.21873	1303.6091	131.69717
181.10826	-83.77784	1321.3026	133.62857
191.04773	-97.39722	1315.5126	133.28761
191.02249	-97.38595	1315.3457	133.2707
191.02249	-97.38595	1315.3457	133.2707
199.27164	-101.36845	1303.0316	132.20728
204.50528	-99.668915	1300.0503	131.98058
204.26788	-99.32674	1296.5282	131.62738
204.26788	-99.32674	1296.5282	131.62738
207.59233	-96.83415	1293.1521	131.32837
210.78217	-99.28466	1297.3351	131.80914
210.7822	-99.279724	1297.2424	131.79997
214.534	-106.22696	1302.5453	132.43614
214.534	-106.22696	1302.5453	132.43614
221.30325	-113.26392	1301.2909	132.48253
221.16064	-113.17814	1300.6809	132.41948
230.2146	-115.82001	1296.7235	132.20836
230.17067	-115.8229	1296.5786	132.1934
241.19669	-113.68323	1304.9651	133.19286
241.19669	-113.68323	1304.9651	133.19286
244.45944	-110.58213	1297.1173	132.45763
244.4731	-110.60311	1297.1971	132.46587
245.69974	-111.74132	1301.1697	132.88707
245.69974	-111.74132	1301.1697	132.88707
248.36746	-115.304474	1312.5769	134.08354
248.38509	-115.30235	1312.742	134.10002
249.81152	-117.192955	1305.5104	133.43529
249.79341	-117.16249	1305.3253	133.41656
249.94382	-116.41918	1306.5645	133.53412
249.94382	-116.41918	1306.5645	133.53412
247.41837	-114.72492	1313.0364	134.106
247.41837	-114.72492	1313.0364	134.106
239.71956	-113.43052	1319.7305	134.61131
239.71956	-113.43052	1319.7305	134.61131
226.87544	-110.76633	1315.4828	133.94911
226.93764	-110.78591	1315.7478	133.97636
219.41164	-107.23312	1314.0948	133.65948
219.27873	-99.899445	1318.6266	134.04622
218.69855	-99.44258	1313.0487	133.48463
217.10634	-92.82344	1305.98	132.7153
217.13568	-92.844025	1306.2559	132.74307
217.29265	-92.51254	1307.2247	132.83867
217.29265	-92.51254	1307.2247	132.83867
217.29265	-92.51254	1307.2247	132.83867
219.56972	-94.04799	1309.9724	133.15718
219.56972	-94.04799	1309.9724	133.15718
221.77217	-88.98973	1312.155	133.37364
224.87206	-80.51246	1315.0103	133.65259
224.87206	-80.51246	1315.0103	133.65259
226.48088	-78.05705	1312.8333	133.45102
226.48088	-78.05705	1312.8333	133.45102
225.36766	-80.48112	1322.5743	134.405
225.36766	-80.48112	1322.5743	134.405
225.36766	-80.48112	1322.5743	134.405
226.89651	-79.834305	1320.3865	134.21162
