x	y	z	distance
583.2859	-212.15887	1291.6877	143.30705
583.21246	-212.14175	1291.562	143.29248
582.98517	-212.10736	1291.1299	143.24376
582.93866	-212.09657	1291.0573	143.23517
582.93866	-212.09657	1291.0573	143.23517
582.93866	-212.09657	1291.0573	143.23517
582.93866	-212.09657	1291.0573	143.23517
582.93866	-212.09657	1291.0573	143.23517
582.93866	-212.09657	1291.0573	143.23517
582.93866	-212.09657	1291.0573	143.23517
582.9938	-212.10106	1291.1779	143.24834
582.9938	-212.10106	1291.1779	143.24834
582.9938	-212.10106	1291.1779	143.24834
582.9938	-212.10106	1291.1779	143.24834
582.9938	-212.10106	1291.1779	143.24834
582.9938	-212.10106	1291.1779	143.24834
582.9938	-212.10106	1291.1779	143.24834
582.86816	-212.12384	1290.905	143.21898
582.86816	-212.12384	1290.905	143.21898
582.86816	-212.12384	1290.905	143.21898
582.86816	-212.12384	1290.905	143.21898
582.90076	-212.11588	1290.9728	143.22629
582.90076	-212.11588	1290.9728	143.22629
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.8611	-212.1122	1290.852	143.21375
582.8611	-212.1122	1290.852	143.21375
582.8611	-212.1122	1290.852	143.21375
582.8611	-212.1122	1290.852	143.21375
582.8611	-212.1122	1290.852	143.21375
582.8937	-212.10425	1290.9199	143.22108
582.8937	-212.10425	1290.9199	143.22108
582.7998	-212.06017	1290.7461	143.20093
582.7998	-212.06017	1290.7461	143.20093
582.9939	-212.11388	1291.082	143.2399
