x	y	z	diognalDistance	speedX	speedY	maxControlValue
-165.22485	73.41028	-319.29907	180.79912	2	-2	0.0
-165.22485	73.41028	-319.29907	180.79912	2	-2	0.0
-165.22485	73.41028	-319.29907	180.79912	2	-2	0.0
-165.22485	73.41028	-319.29907	180.79912	2	-2	0.0
-165.22485	73.41028	-319.29907	180.79912	2	-2	0.0
-165.22485	73.41028	-319.29907	180.79912	2	-2	0.0
-158.88214	71.33236	-315.7347	174.16039	2	-2	0.0
-158.62738	71.54978	-315.51117	174.01729	2	-2	0.0
-158.62738	71.54978	-315.51117	174.01729	2	-2	0.0
-158.62738	71.54978	-315.51117	174.01729	2	-2	0.0
-158.62738	71.54978	-315.51117	174.01729	2	-2	0.0
-159.68741	71.91619	-316.14615	175.13426	2	-2	0.0
-159.68741	71.91619	-316.14615	175.13426	2	-2	0.0
-159.68741	71.91619	-316.14615	175.13426	2	-2	0.0
-159.58234	71.924255	-313.61984	175.04176	2	-2	0.0
-160.15039	72.40469	-314.34415	175.75719	2	-2	0.0
-160.15039	72.40469	-314.34415	175.75719	2	-2	0.0
-160.15039	72.40469	-314.34415	175.75719	2	-2	0.0
-159.2865	72.33674	-314.38922	174.94226	2	-2	0.0
-159.2865	72.33674	-314.38922	174.94226	2	-2	0.0
-157.89185	72.09647	-313.77176	173.57343	2	-2	0.0
-157.13802	71.53345	-312.41022	172.65396	2	-2	0.0
-156.99088	71.48017	-312.13702	172.49797	2	-2	0.0
-156.99088	71.48017	-312.13702	172.49797	2	-2	0.0
-157.19289	71.69184	-311.74545	172.76958	2	-2	0.0
-157.47609	72.14279	-312.22925	173.21461	2	-2	0.0
-157.00627	72.34203	-311.39368	172.87086	2	-2	0.0
-157.00627	72.34203	-311.39368	172.87086	2	-2	0.0
-156.47037	72.40475	-310.66446	172.41063	2	-2	0.0
-156.10037	72.59381	-310.2599	172.15454	2	-2	0.0
-155.81532	72.917755	-310.28018	172.03317	2	-2	0.0
-155.81532	72.917755	-310.28018	172.03317	2	-2	0.0
-155.36073	72.744705	-309.92606	171.5481	2	-2	0.0
-155.36073	72.744705	-309.92606	171.5481	2	-2	0.0
-154.86649	72.636734	-309.49948	171.05475	2	-2	0.0
-154.00574	72.35595	-308.19403	170.15625	2	-2	0.0
-153.86838	72.35304	-308.2871	170.0307	2	-2	0.0
-153.61288	72.413284	-308.55777	169.82521	2	-2	0.0
-153.16711	72.46162	-308.7442	169.44276	2	-2	0.0
-152.1545	72.25081	-308.07407	168.43744	2	-2	0.0
-151.45197	72.29433	-307.79355	167.82184	2	-2	0.0
-150.68665	72.13943	-307.32883	167.06454	2	-2	0.0
-149.72661	71.76743	-306.19684	166.03801	2	-2	0.0
-149.41617	71.58573	-306.20303	165.67953	2	-2	0.0
-149.41617	71.58573	-306.20303	165.67953	2	-2	0.0
-148.32362	71.10359	-305.09454	164.48592	2	-2	0.0
-148.32362	71.10359	-305.09454	164.48592	2	-2	0.0
-148.11882	71.033844	-305.12128	164.27109	2	-2	0.0
-145.33481	69.59419	-303.13565	161.13832	2	-2	0.0
-144.1829	68.99898	-301.57977	159.84233	2	-2	0.0
-143.99838	68.9584	-302.3246	159.65837	2	-2	0.0
-143.4122	68.858574	-302.38107	159.08665	2	-2	0.0
-142.25418	68.3834	-301.2907	157.83707	2	-2	0.0
-142.06429	68.15866	-301.58597	157.5686	2	-2	0.0
-141.37842	67.64705	-301.03513	156.729	2	-2	0.0
-141.51749	67.68879	-301.31985	156.87247	2	-2	0.0
-139.33925	66.3223	-298.69122	154.3181	2	-2	0.0
-139.33925	66.3223	-298.69122	154.3181	2	-2	0.0
-138.964	65.975494	-298.89035	153.83029	2	-2	0.0
-139.15056	65.88746	-300.42453	153.96115	2	-2	0.0
-138.53183	65.470245	-300.39038	153.22343	2	-2	0.0
-137.45433	64.60232	-299.71194	151.87874	2	-2	0.0
-137.45433	64.60232	-299.71194	151.87874	2	-2	0.0
-137.01732	63.92618	-299.3916	151.19624	2	-2	0.0
-136.20486	62.98945	-298.53253	150.06477	2	-2	0.0
-136.35078	62.69165	-299.9825	150.07259	2	-2	0.0
-134.94113	61.471478	-299.11414	148.283	2	-2	0.0
-134.94113	61.471478	-299.11414	148.283	2	-2	0.0
-134.10512	60.818485	-298.61533	147.25172	2	-2	0.0
-132.86131	59.888206	-297.40363	145.73512	2	-2	0.0
-132.86131	59.888206	-297.40363	145.73512	2	-2	0.0
-131.4408	58.46289	-295.9608	143.85616	2	-2	0.0
-131.4408	58.46289	-295.9608	143.85616	2	-2	0.0
-129.49377	56.83243	-293.743	141.41628	2	-2	0.0
-129.49377	56.83243	-293.743	141.41628	2	-2	0.0
-129.06511	56.279366	-293.98154	140.80188	2	-2	0.0
-128.52397	55.710285	-293.9623	140.07872	2	-2	0.0
-128.52397	55.710285	-293.9623	140.07872	2	-2	0.0
-126.63018	54.32424	-292.09338	137.79088	2	-2	0.0
-126.662315	54.33999	-292.18457	137.82661	2	-2	0.0
-126.10664	53.702843	-291.6915	137.06525	2	-2	0.0
-125.4311	53.06351	-290.76294	136.1936	2	-2	0.0
-125.4311	53.06351	-290.76294	136.1936	2	-2	0.0
-124.11642	52.242573	-290.18607	134.66318	2	-2	0.0
-124.11642	52.242573	-290.18607	134.66318	2	-2	0.0
-123.31666	51.71803	-289.57538	133.72267	2	-2	0.0
-123.66415	51.528297	-291.04962	133.9701	2	-2	0.0
-123.66415	51.528297	-291.04962	133.9701	2	-2	0.0
-122.59235	50.351715	-289.7555	132.52992	2	-2	0.0
-122.64694	50.378265	-289.91867	132.5905	2	-2	0.0
-122.49298	49.880154	-290.26202	132.25945	2	-2	0.0
-121.73764	49.272087	-289.4003	131.33084	2	-2	0.0
-120.13046	48.268196	-288.21683	129.46484	2	-2	0.0
-120.13046	48.268196	-288.21683	129.46484	2	-2	0.0
-119.25702	47.56247	-287.23358	128.3917	2	-2	0.0
-118.99576	47.005768	-287.5582	127.943474	2	-2	0.0
-118.3628	46.32272	-287.0153	127.10447	2	-2	0.0
-117.34631	45.7154	-286.06393	125.93671	2	-2	0.0
-116.504616	45.24989	-285.87814	124.98351	2	-2	0.0
-115.60395	44.728054	-285.3461	123.955124	2	-2	0.0
-115.45811	44.38633	-286.7689	123.69608	2	-2	0.0
-114.79795	43.845375	-287.0445	122.88607	2	-2	0.0
