x	y	z	diognalDistance	speedX	speedY	maxControlValue
-186.42207	29.911818	-324.66467	188.80653	10.0	-4.489764	0.0
-187.50931	29.346584	-325.12637	189.7919	10.0	-4.4079137	0.0
-188.01399	28.694084	-324.727	190.191	10.0	-4.312908	0.0
-190.39932	28.424171	-327.913	192.50931	10.0	-4.275264	0.0
-190.39932	28.424171	-327.913	192.50931	10.0	-4.278106	0.0
-190.39932	28.424171	-327.913	192.50931	10.0	-4.2809486	0.0
-190.39932	28.424171	-327.913	192.50931	10.0	-4.283791	0.0
-190.39932	28.424171	-327.913	192.50931	10.0	-4.2866335	0.0
-190.39932	28.424171	-327.913	192.50931	10.0	-4.289476	0.0
-199.8555	-15.905446	-344.5541	200.48741	10.0	2.3874075	0.0
-198.12381	-16.688402	-342.76544	198.82542	10.0	2.5065198	0.0
-197.41914	-17.528214	-342.03094	198.19576	10.0	2.6342444	0.0
-196.5902	-18.628391	-341.4761	197.47081	10.0	2.8011339	0.0
-195.01724	-19.59938	-339.77783	195.99965	10.0	2.9487422	0.0
-194.65808	-20.673845	-340.27655	195.75284	10.0	3.1119792	0.0
-196.16951	-21.774857	-343.3216	197.37431	10.0	3.2793086	0.0
-195.31297	-22.68026	-342.5567	196.62541	10.0	3.417387	0.0
-194.35143	-23.827557	-341.94797	195.80661	10.0	3.5918643	0.0
-195.53282	-25.15153	-344.3108	197.14381	10.0	3.7929754	0.0
-194.67197	-26.270012	-343.72418	196.43648	10.0	3.9633746	0.0
-194.90852	-27.548813	-344.43268	196.8458	10.0	4.15795	0.0
-194.31737	-28.776037	-344.25372	196.4365	10.0	4.344911	0.0
-193.98718	-29.865263	-343.98575	196.27267	10.0	4.5112815	0.0
-195.97585	-31.342455	-347.1985	198.46632	10.0	4.7359943	0.0
-195.97585	-31.342455	-347.1985	198.46632	10.0	4.7391286	0.0
-197.8338	-32.776707	-348.32037	200.53061	10.0	4.9575443	0.0
-199.18599	-35.27904	-344.28406	202.2861	10.0	5.336422	0.0
-199.18599	-35.27904	-344.28406	202.2861	10.0	5.33995	0.0
-199.18599	-35.27904	-344.28406	202.2861	10.0	5.3434777	0.0
-199.18599	-35.27904	-344.28406	202.2861	10.0	5.347006	0.0
-199.18599	-35.27904	-344.28406	202.2861	10.0	5.350534	0.0
-199.18599	-35.27904	-344.28406	202.2861	10.0	5.3540616	0.0
-199.18599	-35.27904	-344.28406	202.2861	10.0	5.3575897	0.0
-173.61417	-59.866486	-337.753	183.64606	10.0	8.985959	0.0
-173.28534	-59.755417	-337.11652	183.299	10.0	8.975275	0.0
-169.1038	-59.725918	-334.79932	179.34125	10.0	8.976823	0.0
-167.71652	-59.887936	-334.67218	178.08817	10.0	9.007114	0.0
-165.51909	-60.123768	-333.54922	176.10065	10.0	9.048501	0.0
-163.12404	-61.079082	-333.81128	174.18411	10.0	9.1979065	0.0
-163.12404	-61.079082	-333.81128	174.18411	10.0	9.204014	0.0
